Season,PA,wRC_Plus,BB_Rate,K_Rate,O_Swing_Rate,Z_Swing_Rate,Swing_Rate,MLBAMID
2021,255,82.57596655,0.015686274,0.101960784,0.4868,0.8397,0.6319,593643
2021,216,71.73410516,0.013888888,0.055555555,0.4795,0.8347,0.6232,553902
2019,333,57.02150813,0.039039039,0.327327327,0.4825,0.7978,0.6173,543308
2020,231,87.2276207,0.021645021,0.129870129,0.5398,0.7305,0.6171,593643
2021,296,155.0210088,0.047297297,0.206081081,0.4454,0.8582,0.6147,673357
2019,465,94.54289917,0.047311827,0.331182795,0.5041,0.8075,0.6121,595751
2018,377,95.06994639,0.047745358,0.366047745,0.4687,0.7942,0.6109,595751
2016,672,97.91873435,0.058035714,0.171130952,0.4479,0.8275,0.6056,430945
2016,647,99.16527075,0.032457496,0.211746522,0.4301,0.814,0.6022,570731
2019,567,144.1282653,0.061728395,0.132275132,0.4165,0.8504,0.5989,643446
2021,284,45.97916494,0.042253521,0.228873239,0.4508,0.7897,0.5933,658069
2018,533,114.1835389,0.039399624,0.150093808,0.4531,0.7948,0.5932,572816
2021,311,68.45198184,0.035369774,0.318327974,0.4605,0.7945,0.5915,595751
2019,590,104.0020353,0.037288135,0.145762711,0.4632,0.8044,0.5914,592696
2017,343,109.7956326,0.058309037,0.282798833,0.4455,0.7937,0.5913,608384
2019,204,76.71295563,0.024509803,0.039215686,0.4266,0.8326,0.5902,553902
2017,561,138.077618,0.058823529,0.197860962,0.3982,0.8343,0.5895,541645
2016,259,40.85287373,0.023166023,0.111969111,0.4389,0.7775,0.5888,150229
2021,665,125.0288764,0.042105263,0.255639097,0.4834,0.7867,0.5886,521692
2017,629,115.9321579,0.055643879,0.241653418,0.4555,0.7851,0.5874,572816
2017,499,102.3003914,0.034068136,0.190380761,0.4792,0.7464,0.5872,521692
2018,219,37.28513226,0.02283105,0.210045662,0.4722,0.7393,0.5863,622682
2019,645,84.11168887,0.027906976,0.137984496,0.4882,0.7463,0.5863,607680
2017,336,82.74286797,0.032738095,0.12797619,0.4083,0.7729,0.586,591720
2019,447,74.0158085,0.046979865,0.223713646,0.4346,0.7991,0.5858,606132
2018,385,91.85060594,0.051948051,0.264935064,0.4391,0.7986,0.5856,541645
2019,518,128.239358,0.028957528,0.21042471,0.4524,0.7755,0.5853,641313
2019,279,126.2146451,0.05734767,0.200716845,0.4621,0.7775,0.5835,572816
2019,550,95.39470164,0.029090909,0.09090909,0.4764,0.7366,0.5834,593643
2019,464,101.0045847,0.043103448,0.25,0.4345,0.8078,0.5824,570731
2017,570,108.5078472,0.043859649,0.122807017,0.4081,0.8131,0.5819,544369
2017,635,105.9956895,0.042519685,0.177952755,0.441,0.7891,0.5812,430945
2016,563,108.5466559,0.055062166,0.241563055,0.4243,0.8027,0.5803,630111
2021,515,115.4667426,0.073786407,0.234951456,0.4182,0.8223,0.5789,541645
2021,551,118.4013177,0.039927404,0.215970961,0.405,0.8193,0.5784,641313
2021,690,121.6494745,0.057971014,0.198550724,0.4248,0.8077,0.5782,666182
2016,584,91.68089074,0.030821917,0.116438356,0.4174,0.7718,0.5779,408252
2021,216,78.90978869,0.055555555,0.254629629,0.3968,0.8,0.5775,624503
2018,645,131.1865025,0.04496124,0.258914728,0.4546,0.7799,0.5771,595879
