season,name,team,pa,ops,woba,xwoba,wrc_plus,bb_rate,bb_rate_plus,k_rate,k_rate_plus,o_swing_rate,z_swing_rate,swing_rate,NameASCII,PlayerId,MLBAMID
2020,Aaron Whitefield,MIN,1,0,0,,-100,0,0,0,0,,1,1,Aaron Whitefield,19938,664334
2023,Chandler Seagle,SDP,1,0,0,,-100,0,0,0,0,,1,1,Chandler Seagle,23552,676882
2019,Johnny Davis,TBR,4,1,0.382254988,,145.668748,0,0,0.5,218.6786606,0.7778,1,0.8462,Johnny Davis,15830,643275
2022,Rob Brantly,NYY,3,0.999999999,0.420493325,,181.8901493,0,0,0,0,0.75,0.8,0.7778,Rob Brantly,10655,542963
2023,Braden Shewmake,ATL,4,0,0,,-100,0,0,0.25,112.0202145,0.6667,0.8333,0.7778,Braden Shewmake,25817,669699
2019,Yasmany Tomás,ARI,6,0,0,,-100,0,0,0.5,228.7450122,0.6875,0.8889,0.76,Yasmany Tomas,17171,630111
2020,Eduardo Núñez,NYM,2,1,0.44126299,,185.0156976,0,0,0,0,1,0.6667,0.75,Eduardo Nunez,6848,456488
2023,Charlie Culberson,ATL,1,2,0.882535994,,475.3579919,0,0,0,0,0.75,,0.75,Charlie Culberson,3298,518586
2018,AJ Reed,HOU,3,0,0,,-100,0,0,0.333333333,152.9620283,1,0.6,0.7143,AJ Reed,16246,607223
2023,Tristan Gray,TBR,5,1.4,0.577327216,,285.7808992,0,0,0,0,0.5,1,0.7143,Tristan Gray,19877,656484
2023,Tres Barrera,STL,2,0,0,,-100,0,0,0,0,0.6667,0.75,0.7143,Tres Barrera,19977,668663
2017,David Washington,BAL,6,0,0,,-100,0,0,0.833333333,391.3446965,0.6667,0.8333,0.7083,David Washington,12110,572241
2020,Willians Astudillo,MIN,16,0.75,0.311392002,,97.52110747,0,0,0.125,52.61629158,0.5769,0.9333,0.7073,Willians Astudillo,15608,553902
2019,Wilkin Castillo,MIA,7,0.428571427,0.173808575,,4.05671022,0,0,0.428571428,196.0671531,0.625,0.7778,0.7059,Wilkin Castillo,5124,446868
2018,Taylor Davis,CHC,6,0.733333333,0.293177009,,82.2715291,0,0,0.166666666,77.24632542,0.4286,0.8462,0.7,Taylor Davis,12782,543089
2020,Travis Blankenhorn,MIN,4,1.166666666,0.49163577,,220.9644806,0,0,0,0,0.5714,0.8333,0.6923,Travis Blankenhorn,18395,663905
2022,Travis Blankenhorn,NYM,3,0,0,,-100,0,0,0.333333333,147.4019703,0.3333,0.8,0.6923,Travis Blankenhorn,18395,663905
2020,Yairo Muñoz,BOS,45,0.844444444,0.358052313,,122.4159742,0,0,0.244444444,102.8940811,0.6289,0.8,0.6908,Yairo Munoz,16313,622168
2019,Deivy Grullón,PHI,9,0.333333333,0.135184447,,-26.65948613,0,0,0.222222222,101.6644498,0.4615,0.875,0.6897,Deivy Grullon,15988,620453
2021,Braden Bishop,SEA,5,0.5,0.219763756,,39.09755835,0,0,0.4,174.8458095,0.5,1,0.6875,Braden Bishop,17806,623323
2020,Yadiel Rivera,TEX,5,0,0,,-100,0,0,0.2,84.18606652,0.5833,0.8571,0.6842,Yadiel Rivera,11863,592680
2016,Arismendy Alcántara,OAK,19,0.473684209,0.204072742,,22.08345108,0,0,0.421052631,203.8166642,0.5938,0.7647,0.6818,Arismendy Alcantara,10711,570489
2021,Alejo Lopez,CIN,23,0.52173913,0.229318702,,35.04487651,0,0,0.217391304,97.47571009,0.4545,0.8684,0.6761,Alejo Lopez,21127,664670
2018,Andrew Toles,LAD,32,0.58125,0.244571778,,53.18180734,0.0625,69.64207498,0.25,115.8694886,0.5091,0.8696,0.6733,Andrew Toles,13414,592808
2018,Mike Freeman,CHC,1,0,0,,-100,0,0,0,0,0,1,0.6667,Mike Freeman,11241,502273
2019,Rob Brantly,PHI,1,0,0,,-100,0,0,1,457.4900245,1,0,0.6667,Rob Brantly,10655,542963
