"description","pitch_count","run_value"
"ball","0-0",0.0369783316179465
"ball","0-1",0.0284607121421835
"ball","0-2",0.0212524781218001
"ball","1-0",0.0610037493204357
"ball","1-1",0.0486222717269743
"ball","1-2",0.0397458476049502
"ball","2-0",0.109941722334734
"ball","2-1",0.102843181679015
"ball","2-2",0.0903419266101353
"ball","3-0",0.132403459004392
"ball","3-1",0.194768720182535
"ball","3-2",0.277032877243519
"called_strike","0-0",-0.0417755363328809
"called_strike","0-1",-0.0567683409991348
"called_strike","0-2",-0.170245324109659
"called_strike","1-0",-0.0503715738713522
"called_strike","1-1",-0.0644036495733716
"called_strike","1-2",-0.188868548778515
"called_strike","2-0",-0.0621830913623698
"called_strike","2-1",-0.0725286022536562
"called_strike","2-2",-0.225676148101065
"called_strike","3-0",-0.0685589940924611
"called_strike","3-1",-0.0838376402160366
"called_strike","3-2",-0.317431212381771
"hit_by_pitch","0-0",0.375089979550102
"hit_by_pitch","0-1",0.407514352211016
"hit_by_pitch","0-2",0.480874066168623
"hit_by_pitch","1-0",0.315903171953255
"hit_by_pitch","1-1",0.363489887640449
"hit_by_pitch","1-2",0.433335616438356
"hit_by_pitch","2-0",0.251677248677249
"hit_by_pitch","2-1",0.302982608695652
"hit_by_pitch","2-2",0.395091509433962
"hit_by_pitch","3-0",0.137264705882353
"hit_by_pitch","3-1",0.195238938053097
"hit_by_pitch","3-2",0.289158878504673
