"description","pitch_count","run_value"
"barrel","0-0",0.861103367050021
"barrel","0-1",0.87922286374134
"barrel","0-2",0.964124150710315
"barrel","1-0",0.831561776955113
"barrel","1-1",0.881631765749778
"barrel","1-2",0.930411280101394
"barrel","2-0",0.800887830687831
"barrel","2-1",0.819355146124524
"barrel","2-2",0.919634440278522
"barrel","3-0",0.802950617283951
"barrel","3-1",0.730626002290951
"barrel","3-2",0.811740502793296
"flare_burner","0-0",0.276453185515105
"flare_burner","0-1",0.298968014771577
"flare_burner","0-2",0.370776065176704
"flare_burner","1-0",0.223447927551376
"flare_burner","1-1",0.276155680496316
"flare_burner","1-2",0.333830858825035
"flare_burner","2-0",0.164216315531602
"flare_burner","2-1",0.221420938463295
"flare_burner","2-2",0.294325706250799
"flare_burner","3-0",0.114433121019108
"flare_burner","3-1",0.10902032967033
"flare_burner","3-2",0.194650150950098
"foul","0-0",-0.0449789582467692
"foul","0-1",-0.0603114601852098
"foul","0-2",-0.00966450414874362
"foul","1-0",-0.0519159092659632
"foul","1-1",-0.0670004905823063
"foul","1-2",-0.0106345505821101
"foul","2-0",-0.0625042790596902
"foul","2-1",-0.0749127060600537
"foul","2-2",-0.0116848535978705
"foul","3-0",-0.0670860068259386
"foul","3-1",-0.086007958062275
"foul","3-2",-0.0157956337045882
"poorly_topped","0-0",-0.131892068910765
"poorly_topped","0-1",-0.0891748896560766
"poorly_topped","0-2",-0.0228739532833847
"poorly_topped","1-0",-0.164271465987117
"poorly_topped","1-1",-0.113783564073508
"poorly_topped","1-2",-0.0422868083563692
"poorly_topped","2-0",-0.225096011513158
"poorly_topped","2-1",-0.16032342140618
"poorly_topped","2-2",-0.0822088499654298
"poorly_topped","3-0",-0.301176646706587
"poorly_topped","3-1",-0.262101438492063
"poorly_topped","3-2",-0.167593056755978
"poorly_under","0-0",-0.191969817742152
"poorly_under","0-1",-0.144924961624749
"poorly_under","0-2",-0.089729527729636
"poorly_under","1-0",-0.226319577133908
"poorly_under","1-1",-0.172108880506361
"poorly_under","1-2",-0.106421692198307
"poorly_under","2-0",-0.290217983089297
"poorly_under","2-1",-0.228116331335616
"poorly_under","2-2",-0.142817871759891
"poorly_under","3-0",-0.406922413793103
"poorly_under","3-1",-0.346132564162939
"poorly_under","3-2",-0.237300318966222
"poorly_weak","0-0",-0.0924507529507529
"poorly_weak","0-1",-0.0874921826141338
"poorly_weak","0-2",-0.0238250162022035
"poorly_weak","1-0",-0.172014269406393
"poorly_weak","1-1",-0.110420468068227
"poorly_weak","1-2",-0.0471721907841552
"poorly_weak","2-0",-0.24659645232816
"poorly_weak","2-1",-0.177203547297297
"poorly_weak","2-2",-0.100383615084525
"poorly_weak","3-0",-0.33708
"poorly_weak","3-1",-0.242045454545455
"poorly_weak","3-2",-0.196428455941795
"solid_contact","0-0",0.247225045045045
"solid_contact","0-1",0.26089574078913
"solid_contact","0-2",0.369685860889396
"solid_contact","1-0",0.216323367907261
"solid_contact","1-1",0.262763214670982
"solid_contact","1-2",0.320441379310345
"solid_contact","2-0",0.159284424379233
"solid_contact","2-1",0.206765993265993
"solid_contact","2-2",0.311005314437555
"solid_contact","3-0",0.157300884955752
"solid_contact","3-1",0.112138630600169
"solid_contact","3-2",0.181831168831169
"swinging_strike","0-0",-0.0454527502372305
"swinging_strike","0-1",-0.0594798184627269
"swinging_strike","0-2",-0.175046408115382
"swinging_strike","1-0",-0.0517273011799318
"swinging_strike","1-1",-0.0661410182929742
"swinging_strike","1-2",-0.193846867590735
"swinging_strike","2-0",-0.0631506061228683
"swinging_strike","2-1",-0.074986664162284
"swinging_strike","2-2",-0.232597445294815
"swinging_strike","3-0",-0.0667254901960784
"swinging_strike","3-1",-0.087620347026546
"swinging_strike","3-2",-0.323609405649274
